,elite_avg,evals,max,mean,median
68,976.0,73140000.0,1420.0,578.21,760.0
69,908.5,74200000.0,2050.0,577.92,760.0
70,968.0,75260000.0,1290.0,575.91,760.0
71,838.5,76320000.0,2050.0,572.5,760.0
72,959.5,77380000.0,1490.0,584.82,770.0
73,730.5,78440000.0,1200.0,581.25,760.0
74,907.5,79500000.0,1290.0,590.59,770.0
75,917.0,80560000.0,1290.0,587.38,770.0
76,898.0,81620000.0,1230.0,587.41,770.0
77,850.5,82680000.0,1270.0,600.89,770.0
78,1077.0,83740000.0,1570.0,591.85,770.0
79,1078.5,84800000.0,1260.0,581.45,770.0
80,759.0,85860000.0,1250.0,600.01,770.0
81,935.5,86920000.0,1450.0,592.57,770.0
82,950.0,87980000.0,1450.0,602.13,770.0
83,1051.5,89040000.0,1290.0,595.92,780.0
84,950.0,90100000.0,1430.0,610.82,780.0
85,1138.5,91160000.0,1260.0,632.95,780.0
86,735.0,92220000.0,1260.0,620.67,780.0
87,881.5,93280000.0,1460.0,621.45,780.0
88,1222.0,94340000.0,1460.0,618.68,780.0
89,1280.0,95400000.0,1480.0,624.55,790.0
90,1222.0,96460000.0,1460.0,614.25,790.0
91,1073.5,97520000.0,1270.0,635.44,790.0
92,987.0,98580000.0,1440.0,621.48,785.0
93,933.0,99640000.0,1470.0,628.48,790.0
94,928.5,100700000.0,1850.0,629.85,790.0
95,1010.0,101760000.0,1470.0,632.54,790.0
96,1200.5,102820000.0,1910.0,657.78,800.0
97,982.0,103880000.0,1410.0,652.45,800.0
98,1094.0,104940000.0,1360.0,665.63,800.0
99,1226.0,106000000.0,1910.0,652.17,800.0
100,1144.5,107060000.0,1910.0,673.19,800.0
101,1092.0,108120000.0,1420.0,668.43,800.0
102,1112.0,109180000.0,1510.0,668.91,800.0
103,1155.0,110240000.0,1530.0,666.67,800.0
104,1272.5,111300000.0,1690.0,667.44,800.0
105,1267.0,112360000.0,1460.0,672.56,810.0
106,1218.5,113420000.0,1510.0,685.04,810.0
107,1147.0,114480000.0,1510.0,679.43,810.0
108,1056.5,115540000.0,1530.0,687.66,810.0
109,1119.0,116600000.0,1440.0,692.16,810.0
110,1005.0,117660000.0,1440.0,687.57,810.0
111,1039.0,118720000.0,1460.0,689.37,810.0
112,1193.5,119780000.0,1290.0,704.29,820.0
113,1156.0,120840000.0,1500.0,705.37,810.0
114,1216.0,121900000.0,1440.0,710.3,820.0
115,1360.0,122960000.0,1650.0,717.49,820.0
116,1300.0,124020000.0,1400.0,713.27,820.0
117,1378.0,125080000.0,1460.0,709.56,820.0
118,1399.0,126140000.0,1420.0,701.72,820.0
119,1292.5,127200000.0,1460.0,703.33,820.0
120,1350.0,128260000.0,1840.0,708.11,820.0
121,1303.5,129320000.0,1420.0,722.68,820.0
122,1350.0,130380000.0,1420.0,699.23,820.0
123,1214.0,131440000.0,1470.0,709.65,820.0
124,1210.5,132500000.0,1520.0,731.97,830.0
125,1190.0,133560000.0,1520.0,729.66,830.0
126,1258.0,134620000.0,1680.0,714.45,820.0
127,1375.5,135680000.0,1680.0,726.42,830.0
128,1370.5,136740000.0,1540.0,715.3,830.0
129,1399.0,137800000.0,1470.0,725.77,830.0
130,1339.0,138860000.0,1680.0,732.77,820.0
131,1037.5,139920000.0,1480.0,721.89,820.0
132,1227.5,140980000.0,1680.0,730.38,830.0
133,1296.5,142040000.0,1680.0,734.33,830.0
134,1238.0,143100000.0,1680.0,727.35,830.0
135,1305.0,144160000.0,1680.0,739.08,830.0
136,1351.0,145220000.0,1680.0,729.35,830.0
137,1310.0,146280000.0,1680.0,734.35,830.0
138,1335.0,147340000.0,1460.0,746.76,830.0
139,1290.0,148400000.0,1680.0,717.57,830.0
140,1167.0,149460000.0,1680.0,729.63,830.0
141,1213.0,150520000.0,1550.0,744.23,840.0
142,1300.0,151580000.0,1490.0,736.98,830.0
143,1166.5,152640000.0,1680.0,733.97,830.0
144,1300.0,153700000.0,1300.0,739.61,830.0
145,1346.5,154760000.0,1900.0,725.5,830.0
146,1152.0,155820000.0,1680.0,743.05,830.0
147,1096.5,156880000.0,1500.0,737.25,830.0
148,1197.0,157940000.0,1680.0,735.07,830.0
149,1300.0,159000000.0,1680.0,743.5,830.0
150,1279.5,160060000.0,1680.0,727.45,830.0
151,1159.0,161120000.0,1520.0,750.7,840.0
152,1300.0,162180000.0,1430.0,753.32,840.0
153,1191.0,163240000.0,1680.0,751.32,840.0
