,elite_avg,best,Elite average windowed (50)
638,888,888,888
639,888,888,888
640,888,888,888
641,888,888,888
642,888,888,888
643,888,888,888
644,888,888,888
645,888,888,888
646,888,888,888
647,888,888,888
648,888,888,888
649,888,888,888
650,888,888,888
651,888,888,888
652,888,888,888
653,888,888,888
654,888,888,888
655,888,888,888
656,888,888,888
657,888,888,888
658,888,888,888
659,888,888,888
660,888,888,888
661,888,888,888
662,888,888,888
663,888,888,888
664,888,888,888
665,888,888,888
666,888,888,888
667,888,888,888
668,888,888,888
669,888,888,888
670,888,888,888
671,888,888,888
672,888,888,888
673,888,888,888
674,888,888,888
675,888,888,888
676,888,888,888
677,888,888,888
678,888,888,888
679,888,888,888
680,888,888,888
681,888,888,888
682,888,888,888
683,888,888,888
684,888,888,888
685,888,888,888
686,888,888,888
687,888,888,888
688,888,888,888
689,888,888,888
690,888,888,888
691,888,888,888
692,888,888,888
693,888,888,888
694,888,888,888
695,888,888,888
696,888,888,888
697,888,888,888
698,888,888,888
699,888,888,888
700,888,888,888
701,888,888,888
702,888,888,888
703,888,888,888
704,888,888,888
705,888,888,888
706,888,888,888
707,888,888,888
708,888,888,888
709,888,888,888
710,888,888,888
711,888,888,888
712,888,888,888
713,888,888,888
714,888,888,888
715,888,888,888
716,888,888,888
717,888,888,888
718,888,888,888
719,888,888,888
720,888,888,888
721,888,888,888
722,888,888,888
723,888,888,888
724,888,888,888
725,888,888,888
726,888,888,888
727,888,888,888
728,888,888,888
729,888,888,888
730,888,888,888
731,888,888,888
732,888,888,888
733,888,888,888
734,888,888,888
735,888,888,888
736,888,888,888
737,888,888,888
738,888,888,888
739,888,888,888
740,888,888,888
741,888,888,888
742,888,888,888
743,888,888,888
744,888,888,888
745,888,888,888
746,888,888,888
747,888,888,888
748,888,888,888
749,888,888,888
750,888,888,888
751,888,888,888
752,888,888,888
753,888,888,888
754,888,888,888
755,888,888,888
756,888,888,888
757,888,888,888
758,888,888,888
759,888,888,888
760,888,888,888
761,888,888,888
762,888,888,888
763,888,888,888
764,888,888,888
765,888,888,888
766,888,888,888
767,888,888,888
768,888,888,888
769,888,888,888
770,888,888,888
771,888,888,888
772,888,888,888
773,888,888,888
774,888,888,888
775,888,888,888
776,888,888,888
777,888,888,888
778,888,888,888
779,888,888,888
780,888,888,888
781,888,888,888
782,888,888,888
783,888,888,888
784,888,888,888
785,888,888,888
786,888,888,888
787,888,888,888
788,888,888,888
789,888,888,888
790,888,888,888
791,888,888,888
792,888,888,888
793,888,888,888
794,888,888,888
795,888,888,888
796,888,888,888
797,888,888,888
798,888,888,888
799,888,888,888
800,888,888,888
801,888,888,888
802,888,888,888
803,888,888,888
804,888,888,888
805,888,888,888
806,888,888,888
807,888,888,888
808,888,888,888
809,888,888,888
810,888,888,888
811,888,888,888
812,888,888,888
813,888,888,888
814,888,888,888
815,888,888,888
816,888,888,888
817,888,888,888
818,888,888,888
819,888,888,888
820,888,888,888
821,888,888,888
822,888,888,888
823,888,888,888
824,888,888,888
825,888,888,888
826,888,888,888
827,888,888,888
828,888,888,888
829,888,888,888
830,888,888,888
831,888,888,888
832,888,888,888
833,888,888,888
834,888,888,888
835,888,888,888
836,888,888,888
837,888,888,888
838,888,888,888
839,888,888,888
840,888,888,888
841,888,888,888
842,888,888,888
843,888,888,888
844,888,888,888
845,888,888,888
846,888,888,888
847,888,888,888
848,888,888,888
849,888,888,888
850,888,888,888
851,888,888,888
852,888,888,888
853,888,888,888
854,888,888,888
855,888,888,888
856,888,888,888
857,888,888,888
858,888,888,888
859,888,888,888
860,888,888,888
861,888,888,888
862,888,888,888
863,888,888,888
864,888,888,888
865,888,888,888
866,888,888,888
867,888,888,888
868,888,888,888
869,888,888,888
870,888,888,888
871,888,888,888
872,888,888,888
873,888,888,888
874,888,888,888
875,888,888,888
876,888,888,888
877,888,888,888
878,888,888,888
879,888,888,888
880,888,888,888
881,888,888,888
882,888,888,888
883,888,888,888
884,888,888,888
885,888,888,888
886,888,888,888
887,888,888,888
888,888,888,888
889,888,888,888
